,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,valence,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
1336,Dromi Pou Agapisa,Dromi Pou Agapisa,Eleni Vitali,1991-12-13,175573,11,0.307,0.802,0.199,0.329,3.79e-05,0.899,-15.75,0.0354,131.953,4
1337,Pnevmonokoniasi,Dromi Pou Agapisa,Eleni Vitali,1991-12-13,241560,1,0.37,0.232,0.52,0.742,0.0,0.683,-10.933,0.0432,141.375,4
1338,Is Mnimosinon,Dromi Pou Agapisa,Eleni Vitali,1991-12-13,132840,1,0.538,0.688,0.208,0.717,2.83e-06,0.685,-15.203,0.0911,123.186,4
1339,Canto,Dromi Pou Agapisa,Eleni Vitali,1991-12-13,363400,1,0.339,0.608,0.263,0.313,0.0,0.704,-14.238,0.0553,84.79,5
1340,Makria Mou Na Figis,Dromi Pou Agapisa,Eleni Vitali,1991-12-13,460706,14,0.347,0.898,0.191,0.15,0.0072,0.531,-15.249,0.034,81.075,4
1341,Fisiki Istoria,Dromi Pou Agapisa,Eleni Vitali,1991-12-13,201466,2,0.717,0.202,0.595,0.689,7.51e-06,0.676,-10.678,0.0332,102.327,4
1342,Elenitsa,Dromi Pou Agapisa,Eleni Vitali,1991-12-13,232826,19,0.494,0.552,0.652,0.502,1.57e-06,0.661,-9.816,0.0506,102.444,4
1343,To Tragoudi Ton Gifton,Dromi Pou Agapisa,Eleni Vitali,1991-12-13,306333,8,0.538,0.729,0.394,0.498,0.00162,0.668,-11.744,0.0352,81.977,4
1344,Pente Ellines Ston Adi,Dromi Pou Agapisa,Eleni Vitali,1991-12-13,241266,6,0.625,0.643,0.185,0.393,0.000881,0.843,-14.26,0.0422,118.385,3
1345,Einai Avastahto Na Fevgeis,Proskinio,Eleni Vitali,2000-05-22,273359,4,0.425,0.836,0.296,0.389,0.0,0.251,-10.054,0.0471,104.891,4
1346,I Monahikes Giagiades,Proskinio,Eleni Vitali,2000-05-22,246333,4,0.352,0.0676,0.626,0.304,0.0,0.706,-8.611,0.075,153.202,4
1347,Kivotos,Proskinio,Eleni Vitali,2000-05-22,268573,8,0.575,0.0131,0.717,0.696,0.0,0.722,-7.769,0.0614,93.605,4
1348,Afto To Kati,Proskinio,Eleni Vitali,2000-05-22,285466,4,0.353,0.0518,0.789,0.401,9.35e-06,0.212,-7.864,0.0403,125.671,4
1349,Xafnikos Erotas,Proskinio,Eleni Vitali,2000-05-22,186426,4,0.364,0.771,0.351,0.131,1.55e-05,0.68,-10.731,0.033,119.842,4
1350,Ainte Ke Fygame,Proskinio,Eleni Vitali,2000-05-22,199039,3,0.357,0.141,0.796,0.789,0.0,0.912,-7.166,0.142,186.2,3
1351,Esy Pou Xereis Ta Polla,Proskinio,Eleni Vitali,2000-05-22,225293,7,0.634,0.0561,0.879,0.602,0.0,0.879,-8.284,0.072,99.219,3
1352,Pio Poly Gia Mena,Proskinio,Eleni Vitali,2000-05-22,215573,4,0.638,0.03,0.636,0.573,0.0,0.675,-8.924,0.05,101.407,4
1353,Ego Tragoudaga (Ta Skyladika),Proskinio,Eleni Vitali,2000-05-22,254359,9,0.428,0.294,0.716,0.381,0.0,0.751,-8.191,0.072,75.973,4
1354,Xenaki Eimai Ke Tha'rtho,Proskinio,Eleni Vitali,2000-05-22,224333,11,0.443,0.469,0.716,0.599,0.0,0.96,-6.86,0.0456,153.579,3
1355,Mavra Mou Matia,Proskinio,Eleni Vitali,2000-05-22,201666,11,0.579,0.371,0.661,0.468,1.41e-06,0.793,-7.817,0.0543,107.611,4
1356,Afta Pathainei Matia Mou,Proskinio,Eleni Vitali,2000-05-22,242266,6,0.6,0.015,0.814,0.388,0.0,0.978,-8.17,0.0699,98.817,4
1357,Perpatousa Afirimeni (To Honda),Proskinio,Eleni Vitali,2000-05-22,227839,5,0.581,0.0763,0.664,0.471,0.0,0.907,-8.992,0.0633,144.308,4
1358,Ke Ti Den Kano,Proskinio,Eleni Vitali,2000-05-22,198159,6,0.672,0.319,0.729,0.764,0.0,0.701,-8.584,0.0395,95.246,4
1359,Isos Ftaine Ta Feggaria,Proskinio,Eleni Vitali,2000-05-22,244133,4,0.552,0.693,0.412,0.488,0.0,0.72,-9.78,0.0976,96.303,3
1360,Enas Alitis Pethane,Proskinio,Eleni Vitali,2000-05-22,242839,3,0.489,0.119,0.522,0.331,1.24e-06,0.645,-7.607,0.0308,106.534,4
1361,To Dihty,Proskinio,Eleni Vitali,2000-05-22,261266,26,0.505,0.182,0.502,0.469,0.0,0.947,-8.667,0.0431,105.686,1
1362,Ena Himoniatiko Proi,Proskinio,Eleni Vitali,2000-05-22,260466,35,0.333,0.555,0.552,0.459,0.0,0.96,-9.297,0.044,89.795,4
1363,Girizo Ap' Ti Nyhta,Proskinio,Eleni Vitali,2000-05-22,192293,5,0.562,0.64,0.46,0.477,0.0,0.946,-8.542,0.0443,110.23,4
1364,Veloudina Hilakia,Anthologio - Eleni Vitali,Eleni Vitali,1984-03-14,219906,8,0.597,0.582,0.538,0.913,0.0,0.0572,-6.139,0.0327,134.305,4
1365,Egona,Anthologio - Eleni Vitali,Eleni Vitali,1984-03-14,155226,4,0.796,0.605,0.918,0.971,0.0,0.238,-4.122,0.0323,112.974,4
1366,Ase Me Na Leo,Anthologio - Eleni Vitali,Eleni Vitali,1984-03-14,190200,8,0.605,0.797,0.385,0.136,2.89e-05,0.144,-10.274,0.0317,87.411,4
1367,Pios Fovate Ti Virtzinia Goulf,Anthologio - Eleni Vitali,Eleni Vitali,1984-03-14,245146,4,0.51,0.678,0.431,0.499,0.0,0.0851,-6.378,0.0518,131.498,4
1368,Mona Stolidia,Skorpia Filla,Eleni Vitali,2011-04-21,333346,6,0.611,0.192,0.549,0.406,4.21e-05,0.247,-8.145,0.0234,100.074,4
1369,Krifto,Skorpia Filla,Eleni Vitali,2011-04-21,317920,5,0.49,0.303,0.489,0.33,2.95e-06,0.128,-9.647,0.0317,137.94,4
1370,Vara Mou To Defi,Pio Dromo Na Paro - Eleni Vitali,Eleni Vitali,2006-01-01,200213,2,0.365,0.328,0.837,0.919,0.0,0.0736,-3.896,0.158,182.048,4
1371,Pio Dromo Na Paro,Pio Dromo Na Paro - Eleni Vitali,Eleni Vitali,2006-01-01,222360,2,0.428,0.621,0.537,0.343,0.0,0.0953,-6.042,0.0479,94.914,3
1372,Anihte Ta Trelladika,Pio Dromo Na Paro - Eleni Vitali,Eleni Vitali,2006-01-01,182613,14,0.438,0.385,0.683,0.404,0.0,0.115,-4.623,0.0354,134.516,4
1373,Matia Mou Malamatenia,Pio Dromo Na Paro - Eleni Vitali,Eleni Vitali,2006-01-01,151493,14,0.69,0.601,0.796,0.75,0.0,0.367,-3.947,0.0562,118.278,5
1374,De Ladonete O Haros,Pio Dromo Na Paro - Eleni Vitali,Eleni Vitali,2006-01-01,148986,2,0.568,0.248,0.703,0.773,0.0,0.169,-3.833,0.051,129.238,4
1375,Osa Mou Ipan S' Agapo,Pio Dromo Na Paro - Eleni Vitali,Eleni Vitali,2006-01-01,166080,1,0.65,0.515,0.782,0.872,0.0,0.341,-3.395,0.11,156.255,4
1376,Idios Dromos,Pio Dromo Na Paro - Eleni Vitali,Eleni Vitali,2006-01-01,196626,1,0.293,0.88,0.461,0.15,2.6e-06,0.114,-5.945,0.0374,80.712,1
1377,Vrohi Ta Parapona,Pio Dromo Na Paro - Eleni Vitali,Eleni Vitali,2006-01-01,189066,1,0.429,0.714,0.327,0.517,0.0,0.151,-5.503,0.0281,94.276,4
1378,Mia Gineka Bori,Pio Dromo Na Paro - Eleni Vitali,Eleni Vitali,2006-01-01,184520,2,0.368,0.711,0.78,0.695,0.0,0.0831,-4.558,0.0648,159.619,4
1379,Les Ke Kratages Maheria,Pio Dromo Na Paro - Eleni Vitali,Eleni Vitali,2006-01-01,205040,2,0.518,0.432,0.805,0.795,0.0,0.147,-4.625,0.0441,118.383,4
1380,De Me Ponese Kanis (Kardia Mou Kaimeni) - Live,Pio Dromo Na Paro - Eleni Vitali,Eleni Vitali,2006-01-01,241666,2,0.447,0.909,0.607,0.637,0.0,0.972,-6.946,0.202,125.918,4
1381,Ti Ta Thelis Ta Lefta - Live,Pio Dromo Na Paro - Eleni Vitali,Eleni Vitali,2006-01-01,195280,2,0.66,0.798,0.932,0.922,0.000386,0.934,-4.965,0.0365,123.203,4
1382,Anapste Floges Ke Foties - Live,Pio Dromo Na Paro - Eleni Vitali,Eleni Vitali,2006-01-01,205493,0,0.615,0.851,0.655,0.713,2.2e-06,0.96,-5.888,0.063,109.346,4
1383,Iptamenos Diskos - Live,Pio Dromo Na Paro - Eleni Vitali,Eleni Vitali,2006-01-01,181773,7,0.737,0.811,0.72,0.891,0.0,0.767,-5.504,0.0542,102.29,4
1384,Allon Ehis Agalia - Live,Pio Dromo Na Paro - Eleni Vitali,Eleni Vitali,2006-01-01,267706,1,0.527,0.896,0.61,0.537,0.000117,0.799,-8.26,0.0486,105.607,4
1385,Ke Mazi Ke Monos,Pio Dromo Na Paro - Eleni Vitali,Eleni Vitali,2006-01-01,222040,6,0.457,0.644,0.601,0.866,0.0,0.441,-6.114,0.0412,165.639,4
1386,Ine Ke To Prosopo,Pio Dromo Na Paro - Eleni Vitali,Eleni Vitali,2006-01-01,165226,0,0.42,0.793,0.579,0.741,0.0,0.0896,-5.777,0.0785,177.842,4
1387,Ta Kalitera Mas Hronia,Pio Dromo Na Paro - Eleni Vitali,Eleni Vitali,2006-01-01,194200,2,0.486,0.225,0.806,0.662,0.0,0.192,-5.732,0.111,95.752,4
1388,Tora Xero Oti Fteo,Pio Dromo Na Paro - Eleni Vitali,Eleni Vitali,2006-01-01,188093,7,0.612,0.615,0.915,0.717,2.45e-06,0.923,-4.236,0.123,112.251,4
1389,Ηameni Agapi - Tis Kardias To Xypnitiri,Ta Dimotika Tis Elenis Vitali,Eleni Vitali,2008-05-12,220000,0,0.457,0.763,0.433,0.522,0.00126,0.154,-5.893,0.028,134.497,3
1390,Zoume Se Pseftra Epohi,Pio Dromo Na Paro - Eleni Vitali,Eleni Vitali,2006-01-01,149640,1,0.492,0.707,0.836,0.923,0.0,0.214,-4.318,0.0838,178.595,4
1391,Pexe Hristo Epigodos - Live,Pio Dromo Na Paro - Eleni Vitali,Eleni Vitali,2006-01-01,192400,8,0.523,0.66,0.791,0.856,2.98e-06,0.279,-3.628,0.048,145.053,4
1392,Ela,Ela,Eleonora Zouganeli,2008-01-01,206312,33,0.605,0.00113,0.855,0.283,0.0,0.121,-5.544,0.0406,119.965,4
1393,Kopse Ke Mirase,Ela,Eleonora Zouganeli,2008-01-01,270467,29,0.664,0.358,0.492,0.254,2.38e-06,0.117,-8.104,0.0296,128.02,4
1394,To Tik Tak Tou Rologiou,Ela,Eleonora Zouganeli,2008-01-01,184031,6,0.632,0.0285,0.581,0.245,1.51e-06,0.122,-7.416,0.0326,145.015,5
1395,Fevgo Gia Mena Mia Fora (Lasciala Andare),Ela,Eleonora Zouganeli,2008-01-01,234194,15,0.597,0.151,0.608,0.31,0.0,0.111,-6.26,0.0334,148.519,4
1396,To S' Agapo Pou Perimenis,Ela,Eleonora Zouganeli,2008-01-01,208593,5,0.568,0.00958,0.731,0.748,4.47e-05,0.0943,-6.137,0.0542,203.945,4
1397,Mikra Veggalika,Ela,Eleonora Zouganeli,2008-01-01,297030,22,0.535,0.198,0.576,0.0508,1.03e-05,0.19,-6.765,0.031,146.189,4
1398,Mia Stigmi,Ela,Eleonora Zouganeli,2008-01-01,257610,4,0.627,0.0573,0.785,0.645,0.000892,0.0877,-5.784,0.0287,110.995,4
1399,Mi Rotas,Ela,Eleonora Zouganeli,2008-01-01,221611,2,0.474,0.149,0.428,0.134,0.0,0.152,-7.265,0.0268,148.284,3
1400,De Megalonoume,Ela,Eleonora Zouganeli,2008-01-01,217997,3,0.768,0.476,0.856,0.624,6.12e-06,0.108,-5.216,0.0478,102.032,4
1401,Etsi Ine File Mou I Zoi,Ela,Eleonora Zouganeli,2008-01-01,186109,6,0.679,0.00516,0.526,0.269,6.82e-06,0.155,-6.555,0.0255,95.959,3
1402,Diamantenia Provlita,Voutia Apo Psila,Endelehia,1997,317533,1,0.553,0.000959,0.921,0.369,4.04e-05,0.321,-5.338,0.0655,134.877,4
1403,Mikres Hares,Voutia Apo Psila,Endelehia,1997,250866,2,0.718,0.12,0.469,0.588,0.000375,0.0694,-10.632,0.0307,93.978,4
1404,Kante Pera,Voutia Apo Psila,Endelehia,1997,233706,1,0.577,0.00299,0.874,0.853,0.0,0.332,-6.14,0.045,129.852,4
1405,Voutia Apo Psila,Voutia Apo Psila,Endelehia,1997,292506,1,0.627,0.0673,0.545,0.143,0.00022,0.151,-8.703,0.0328,130.024,4
1406,Amerika,S' Ena Megalo Avrio,Endelehia,2008-06-05,343293,5,0.38,0.000138,0.836,0.149,0.000167,0.795,-5.994,0.0421,172.091,4
1407,Kati Tous Deni,S' Ena Megalo Avrio,Endelehia,2008-06-05,212573,14,0.581,0.0424,0.821,0.884,0.00447,0.0538,-5.388,0.0274,139.986,4
1408,Mikros Pou Ise Ourane,S' Ena Megalo Avrio,Endelehia,2008-06-05,234266,9,0.611,0.0225,0.569,0.556,0.000466,0.206,-6.369,0.0269,130.004,4
1409,Axizi Ton Kopo,S' Ena Megalo Avrio,Endelehia,2008-06-05,196173,21,0.444,0.0046,0.751,0.913,0.0,0.075,-4.249,0.0406,170.951,4
1410,Orkos,S' Ena Megalo Avrio,Endelehia,2008-06-05,217733,5,0.578,0.00582,0.891,0.439,0.0122,0.189,-4.927,0.0302,107.98,4
1411,S' Ena Megalo Avrio,S' Ena Megalo Avrio,Endelehia,2008-06-05,231173,4,0.778,0.252,0.566,0.492,1.26e-05,0.259,-5.411,0.0525,126.071,4
1412,Thimame Ke Kaliteres Meres,S' Ena Megalo Avrio,Endelehia,2008-06-05,183866,5,0.488,0.000577,0.929,0.745,1.71e-05,0.514,-4.198,0.0423,141.964,4
1413,Otan Oli Kimounte,S' Ena Megalo Avrio,Endelehia,2008-06-05,200586,6,0.547,0.000682,0.86,0.377,0.0518,0.342,-5.531,0.028,120.06,4
1414,Rimes,S' Ena Megalo Avrio,Endelehia,2008-06-05,171266,4,0.687,0.0438,0.839,0.749,0.0,0.0719,-5.401,0.0349,93.006,4
1415,I Agapes Den In' Ap' Atsali,S' Ena Megalo Avrio,Endelehia,2008-06-05,203693,4,0.66,0.00354,0.728,0.838,1.09e-05,0.247,-6.403,0.0248,95.987,4
1416,Ego Den Ime Anemos,S' Ena Megalo Avrio,Endelehia,2008-06-05,206533,3,0.662,0.00164,0.906,0.637,0.00214,0.601,-3.5,0.0359,124.984,4
1417,Kanenas Den Mpori,S' Ena Megalo Avrio,Endelehia,2008-06-05,227560,3,0.606,0.00515,0.939,0.598,0.0,0.0632,-5.153,0.0477,106.022,4
1418,Isterografo,S' Ena Megalo Avrio,Endelehia,2008-06-05,241160,8,0.641,0.0242,0.484,0.502,0.0,0.0988,-5.587,0.0276,109.989,4
1419,Den Ime Aftos Pou Thes,Hartines Saites,Endelehia,1999-02-16,242466,14,0.716,0.256,0.785,0.901,0.00467,0.197,-5.927,0.0354,110.415,4
1420,Hartines Saites,Hartines Saites,Endelehia,1999-02-16,321600,6,0.268,0.251,0.651,0.329,0.00698,0.146,-6.433,0.0481,179.989,4
1421,Imaste Edo,Hartines Saites,Endelehia,1999-02-16,290493,2,0.397,0.0112,0.748,0.623,0.0,0.0253,-5.857,0.06,176.934,4
1422,Na 'Rtho Ki Apopse,Hartines Saites,Endelehia,1999-02-16,243000,7,0.701,0.637,0.729,0.8,0.0124,0.353,-7.603,0.0279,136.116,4
1423,Mikri Istoria,Mesa Mou Krivonte Ali,Endelehia,2005,191106,2,0.507,0.0218,0.574,0.542,0.0435,0.323,-9.932,0.0304,124.014,4
1424,Fonissa Mana,Sta Sinora Tis Meras,Endelehia,2001,257226,1,0.557,0.198,0.562,0.549,3.98e-06,0.0957,-9.035,0.0293,124.011,4
1425,Ti Tragoudi Na Sou Po,Sta Sinora Tis Meras,Endelehia,2001,231333,27,0.78,0.926,0.221,0.334,2.16e-06,0.0935,-12.836,0.0323,94.028,4
1426,Ola Edo Girnane,Sta Sinora Tis Meras,Endelehia,2001,269840,2,0.648,0.0856,0.639,0.854,0.0261,0.125,-8.048,0.0284,135.944,4
1427,An Nostalgo,Sta Sinora Tis Meras,Endelehia,2001,248533,4,0.634,0.159,0.536,0.533,5.26e-05,0.0999,-10.115,0.043,140.074,4
1428,Na Kao,Sta Sinora Tis Meras,Endelehia,2001,280026,2,0.517,0.193,0.689,0.414,0.0975,0.118,-8.097,0.0299,130.081,4
1429,Alli Mera,Radio Skouro Anihto,Evgenios Dermitasoglou,2010-11-05,253880,0,0.35,0.146,0.789,0.397,0.00656,0.221,-8.046,0.0954,186.239,3
1430,Kapse Tin Maska,Radio Skouro Anihto,Evgenios Dermitasoglou,2010-11-05,150360,0,0.47,0.458,0.794,0.836,1.22e-06,0.827,-6.596,0.0768,133.276,4
1431,Simera,Radio Skouro Anihto,Evgenios Dermitasoglou,2010-11-05,278320,0,0.587,0.338,0.555,0.385,2.99e-05,0.32,-10.356,0.0285,130.046,4
1432,Ekptosis,Radio Skouro Anihto,Evgenios Dermitasoglou,2010-11-05,269160,0,0.493,0.445,0.665,0.568,7.27e-05,0.103,-8.146,0.0771,113.351,4
1433,Gialini Hara,Radio Skouro Anihto,Evgenios Dermitasoglou,2010-11-05,230693,0,0.542,0.882,0.167,0.312,0.0,0.109,-12.468,0.0365,124.203,4
1434,Ine Noris Akoma,Radio Skouro Anihto,Evgenios Dermitasoglou,2010-11-05,247773,0,0.58,0.397,0.911,0.612,1.01e-05,0.922,-5.211,0.0443,90.0,4
1435,To Mikro Ine Kati,Radio Skouro Anihto,Evgenios Dermitasoglou,2010-11-05,461200,1,0.349,0.762,0.367,0.257,0.00549,0.109,-11.194,0.0303,159.938,3
1436,MP3 - Live,I Apithanes Peripeties Tou Fivou Delivoria,Fivos Delivorias,2008-02-23,261360,8,0.575,0.487,0.815,0.637,3.83e-06,0.968,-8.029,0.053,127.638,4
1437,Afti Pou Pernai - Live,I Apithanes Peripeties Tou Fivou Delivoria,Fivos Delivorias,2008-02-23,238986,10,0.587,0.193,0.586,0.762,1.43e-06,0.974,-8.548,0.0544,130.048,4
1438,I Mposa Nova Tou Isaia - Live,I Apithanes Peripeties Tou Fivou Delivoria,Fivos Delivorias,2008-02-23,318173,22,0.614,0.451,0.603,0.668,3.94e-05,0.934,-8.691,0.0601,128.154,4
1439,Afou De M' Agapas - Live,I Apithanes Peripeties Tou Fivou Delivoria,Fivos Delivorias,2008-02-23,195946,11,0.473,0.728,0.524,0.44,0.0,0.97,-8.542,0.131,95.521,4
1440,Volta Sto Thisio,I Apithanes Peripeties Tou Fivou Delivoria,Fivos Delivorias,2008-02-23,73626,6,0.667,0.933,0.263,0.697,0.0,0.149,-18.07,0.938,77.371,3
1441,Fotis (Ena Tragoudi Gia Ton Patera Mou) - Live,I Apithanes Peripeties Tou Fivou Delivoria,Fivos Delivorias,2008-02-23,228013,8,0.398,0.5,0.522,0.35,0.0,0.751,-8.885,0.0471,96.755,4
1442,O Proorismos - Live,I Apithanes Peripeties Tou Fivou Delivoria,Fivos Delivorias,2008-02-23,234040,7,0.552,0.379,0.571,0.45,0.000105,0.87,-8.44,0.0363,115.828,3
1443,Kata Tin Paradosi,I Apithanes Peripeties Tou Fivou Delivoria,Fivos Delivorias,2008-02-23,13853,0,0.0,0.821,0.533,0.0,0.0,0.702,-14.081,0.0,0.0,0
1444,I Gineka Tou Patokou - Live,I Apithanes Peripeties Tou Fivou Delivoria,Fivos Delivorias,2008-02-23,241280,7,0.634,0.43,0.691,0.698,0.0,0.713,-8.7,0.0514,127.321,4
1445,Halia - Live,I Apithanes Peripeties Tou Fivou Delivoria,Fivos Delivorias,2008-02-23,272693,13,0.478,0.717,0.454,0.268,0.0,0.73,-8.967,0.0372,113.205,3
1446,Come With Me Gia Na Tin Vris,I Apithanes Peripeties Tou Fivou Delivoria,Fivos Delivorias,2008-02-23,28186,0,0.327,0.7,0.323,0.731,0.0,0.759,-13.901,0.059,96.98,3
1447,Ante Spase Re Malaka,I Apithanes Peripeties Tou Fivou Delivoria,Fivos Delivorias,2008-02-23,42853,7,0.709,0.101,0.536,0.785,0.000917,0.377,-8.299,0.0628,96.824,4
1448,Ego Den Thelo Merokamato,I Apithanes Peripeties Tou Fivou Delivoria,Fivos Delivorias,2008-02-23,16400,0,0.591,0.531,0.374,0.0,0.0,0.601,-8.802,0.247,122.759,4
1449,Discotech - Live,I Apithanes Peripeties Tou Fivou Delivoria,Fivos Delivorias,2008-02-23,236520,8,0.634,0.202,0.783,0.811,0.0,0.669,-7.589,0.0621,120.465,4
1450,Ena Gourouni Ligotero - Live,I Apithanes Peripeties Tou Fivou Delivoria,Fivos Delivorias,2008-02-23,185880,10,0.522,0.861,0.488,0.569,0.0,0.964,-10.087,0.169,129.741,4
1451,Enas Skilos Sto Kolonaki - Live,I Apithanes Peripeties Tou Fivou Delivoria,Fivos Delivorias,2008-02-23,249373,9,0.468,0.815,0.507,0.791,5.79e-06,0.829,-12.59,0.306,178.655,4
1452,Ekini - Live,I Apithanes Peripeties Tou Fivou Delivoria,Fivos Delivorias,2008-02-23,390520,10,0.565,0.808,0.602,0.423,6.84e-05,0.691,-10.175,0.0513,122.4,4
1453,I Pera Hora - Live,I Apithanes Peripeties Tou Fivou Delivoria,Fivos Delivorias,2008-02-23,249026,5,0.626,0.0183,0.613,0.813,0.000644,0.971,-9.126,0.0376,123.758,4
1454,Na Kimitho (Apo Tin Atzenta Enos Ipallilou) - Live,I Apithanes Peripeties Tou Fivou Delivoria,Fivos Delivorias,2008-02-23,218280,6,0.496,0.307,0.533,0.695,0.0,0.7,-9.62,0.048,118.919,3
1455,Hristougenna - Live,I Apithanes Peripeties Tou Fivou Delivoria,Fivos Delivorias,2008-02-23,228973,6,0.53,0.804,0.454,0.56,0.0,0.847,-10.128,0.0951,99.358,4
1456,Ivreopobi - Live,I Apithanes Peripeties Tou Fivou Delivoria,Fivos Delivorias,2008-02-23,300133,6,0.537,0.626,0.478,0.636,0.0,0.964,-9.906,0.279,128.512,4
1457,Ke Tou Hronou - Live,I Apithanes Peripeties Tou Fivou Delivoria,Fivos Delivorias,2008-02-23,255773,7,0.576,0.138,0.748,0.917,0.0,0.954,-8.081,0.0356,128.826,4
1458,O Kathreftis - Live,I Apithanes Peripeties Tou Fivou Delivoria,Fivos Delivorias,2008-02-23,267946,6,0.61,0.738,0.399,0.454,0.0,0.715,-10.46,0.0444,116.717,3
1459,Mantinada,I Apithanes Peripeties Tou Fivou Delivoria,Fivos Delivorias,2008-02-23,26346,0,0.659,0.737,0.423,0.892,0.0,0.783,-15.854,0.903,115.493,3
1460,Thelo Na Se Xeperaso - Live,I Apithanes Peripeties Tou Fivou Delivoria,Fivos Delivorias,2008-02-23,187800,7,0.654,0.145,0.662,0.813,2.95e-05,0.953,-8.597,0.18,122.754,4
1461,Ke Tora Pou Tha Figete - Live,I Apithanes Peripeties Tou Fivou Delivoria,Fivos Delivorias,2008-02-23,266173,4,0.692,0.452,0.642,0.627,1.22e-06,0.701,-8.835,0.073,102.161,4
1462,O Glaros - Live,I Apithanes Peripeties Tou Fivou Delivoria,Fivos Delivorias,2008-02-23,182906,18,0.622,0.872,0.278,0.612,8.74e-06,0.195,-11.102,0.0364,122.485,4
1463,Pou Na Ne Tetia Ora I Agapi - Live,I Apithanes Peripeties Tou Fivou Delivoria,Fivos Delivorias,2008-02-23,99306,5,0.514,0.916,0.228,0.503,2.46e-06,0.12,-13.164,0.0456,96.23,4
1464,Pes Mou Pappou - Live,I Apithanes Peripeties Tou Fivou Delivoria,Fivos Delivorias,2008-02-23,244213,6,0.662,0.955,0.234,0.266,0.0,0.12,-12.275,0.0343,115.982,3
1465,Stou Tourismou Tin Anohi - Live,I Apithanes Peripeties Tou Fivou Delivoria,Fivos Delivorias,2008-02-23,64133,3,0.64,0.791,0.0756,0.51,0.0,0.308,-13.737,0.037,100.713,4
1466,Kathe Septemvri - Live,I Apithanes Peripeties Tou Fivou Delivoria,Fivos Delivorias,2008-02-23,163440,8,0.572,0.937,0.183,0.508,0.0,0.106,-11.873,0.0333,92.271,4
1467,Ime Giftaki - Live,I Apithanes Peripeties Tou Fivou Delivoria,Fivos Delivorias,2008-02-23,153080,8,0.564,0.87,0.26,0.567,0.0,0.12,-11.311,0.0341,98.596,4
1468,Pediko - Live,I Apithanes Peripeties Tou Fivou Delivoria,Fivos Delivorias,2008-02-23,690466,6,0.605,0.92,0.202,0.276,0.000269,0.108,-14.979,0.0321,106.153,4
1469,Ekini,Halia,Fivos Delivorias,1998-07-06,319000,33,0.683,0.433,0.513,0.414,0.0,0.142,-10.0,0.0367,128.012,4
1470,Enas Skilos Sto Kolonaki,Halia,Fivos Delivorias,1998-07-06,252560,20,0.782,0.0147,0.454,0.511,6.07e-05,0.0802,-13.633,0.0601,93.003,4
1471,Halia (Invitation To The Blues),Halia,Fivos Delivorias,1998-07-06,242640,24,0.553,0.661,0.323,0.472,0.0,0.144,-14.478,0.0483,75.49,4
1472,Pistos,Halia,Fivos Delivorias,1998-07-06,189533,9,0.607,0.908,0.399,0.541,1.74e-05,0.182,-13.579,0.03,139.977,3
1473,Kathe Septemvri,Halia,Fivos Delivorias,1998-07-06,178866,19,0.66,0.398,0.34,0.541,1.02e-06,0.0726,-13.069,0.0303,83.933,4
1474,I Gineka Tou Patokou,Halia,Fivos Delivorias,1998-07-06,252466,17,0.782,0.575,0.477,0.61,0.0,0.0803,-12.023,0.0347,119.137,4
1475,Thelo Na Se Xeperaso,Halia,Fivos Delivorias,1998-07-06,159560,30,0.801,0.195,0.611,0.948,1.3e-05,0.113,-10.566,0.0317,119.965,4
1476,Fotis (Ena Tragoudi Gia Ton Patera Mou),Halia,Fivos Delivorias,1998-07-06,196240,12,0.612,0.66,0.38,0.541,1.44e-06,0.0961,-12.056,0.0268,96.075,4
1477,O Andras Tis Zois Mou (feat. Kaiti Garbi),Halia,Fivos Delivorias,1998-07-06,192026,12,0.757,0.46,0.534,0.595,0.0,0.241,-8.709,0.0323,128.022,5
1478,An Se Haso,Halia,Fivos Delivorias,1998-07-06,209133,9,0.563,0.025,0.431,0.535,0.0465,0.291,-14.255,0.0291,107.881,4
1479,O Diplopandremenos,Halia,Fivos Delivorias,1998-07-06,440893,12,0.507,0.266,0.356,0.291,1.08e-05,0.116,-12.12,0.034,91.997,4
1480,Stou Kapnou Ta Dahtilidia,I Zoi Mono Etsi Ine Orea,Fivos Delivorias,1995-03-14,206480,6,0.657,0.183,0.537,0.46,0.000575,0.0721,-13.557,0.0367,98.972,4
1481,I Bosa Nova Tou Isaia,I Zoi Mono Etsi Ine Orea,Fivos Delivorias,1995-03-14,272173,35,0.632,0.589,0.464,0.785,5.91e-06,0.105,-16.297,0.044,135.844,4
1482,Tritidesmitisa,I Zoi Mono Etsi Ine Orea,Fivos Delivorias,1995-03-14,205520,7,0.616,0.556,0.352,0.645,0.0,0.0835,-12.264,0.0298,102.67,4
1483,Topa Tokana,I Zoi Mono Etsi Ine Orea,Fivos Delivorias,1995-03-14,240213,6,0.718,0.183,0.573,0.526,0.0,0.201,-14.007,0.048,100.011,4
1484,Hai Haou Ar Yiou,I Zoi Mono Etsi Ine Orea,Fivos Delivorias,1995-03-14,200173,5,0.643,0.524,0.457,0.732,0.0,0.143,-12.929,0.0407,129.978,3
1485,Na Kimitho,I Zoi Mono Etsi Ine Orea,Fivos Delivorias,1995-03-14,209533,8,0.619,0.476,0.544,0.682,5.88e-06,0.211,-13.688,0.0366,125.026,5
